,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2756,CHEMBL2425413,active,O=C1NC(=O)C(=CNNC(=S)Nc2cccc(C(F)(F)F)c2)C(=O)N1,373.31600000000003,0.7462999999999995,5.0,5.0,4.389552778557879
2757,CHEMBL2425412,active,O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccc(Br)cc1,400.28300000000013,0.6549,5.0,5.0,4.101219986710174
2758,CHEMBL2425410,active,O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccc(Cl)cc1,355.8320000000001,0.5458000000000001,5.0,5.0,3.916819995870023
2759,CHEMBL2425409,active,O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccc(F)cc1,339.3770000000001,0.031499999999999695,5.0,5.0,4.1056285461437625
2760,CHEMBL2425408,active,O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccccc1,321.3870000000001,-0.10759999999999992,5.0,5.0,3.9388869460820213
2761,CHEMBL2425407,active,O=C(NNC=C1C(=O)NC(=S)NC1=O)Nc1ccccc1,305.319,-0.2724999999999995,5.0,5.0,4.12953756841108
2762,CHEMBL2425418,active,NC(=S)NNC=C1C(=O)NC(=O)NC1=O,229.221,-2.4259000000000004,5.0,5.0,3.9240517753559647
2763,CHEMBL2425417,active,CC(=O)NC=C1C(=O)NC(=O)NC1=O,197.14999999999998,-1.6275999999999993,3.0,4.0,4.041388342235121
2764,CHEMBL2441695,active,COc1c(F)c[n+](CCC[n+]2cc(F)c(OC)c(F)c2)cc1F,332.29699999999997,1.9255,0.0,2.0,4.552841968657781
2765,CHEMBL2441694,active,O=S(=O)([O-])C(F)(F)F,149.069,0.05140000000000022,0.0,3.0,4.008773924307505
2766,CHEMBL2441693,active,COc1cccc(C#N)[n+]1C,149.17299999999997,0.39137999999999995,0.0,2.0,4.7447274948966935
2767,CHEMBL2441692,inactive,COc1ccc(C#N)c[n+]1C,149.17299999999997,0.39137999999999995,0.0,2.0,4.1938200260161125
2768,CHEMBL2441691,intermediate,COc1cc(C#N)cc[n+]1C,149.17299999999997,0.39137999999999995,0.0,2.0,4.214670164989233
2769,CHEMBL2441690,inactive,COc1ccc([N+](=O)[O-])c[n+]1C,169.16,0.42789999999999984,0.0,3.0,4.455931955649724
2770,CHEMBL2441689,intermediate,COc1cccc(C(F)(F)F)[n+]1C,192.15999999999997,1.5385,0.0,1.0,4.337242168318426
2771,CHEMBL2441688,intermediate,COc1ccc(C(F)(F)F)c[n+]1C,192.16,1.5385,0.0,1.0,4.508638306165727
2772,CHEMBL2441687,intermediate,COc1ccc(F)c[n+]1C,142.153,0.6588,0.0,1.0,4.769551078621726
2773,CHEMBL2441686,intermediate,COc1c(F)ccc[n+]1C,142.153,0.6588,0.0,1.0,3.958607314841775
2774,CHEMBL2441685,inactive,COc1cccc[n+]1C,124.16299999999998,0.5196999999999999,0.0,1.0,4.337242168318426
2775,CHEMBL2441684,intermediate,COc1c(F)c[n+](CCCCCOc2ccc3c(C)cc(=O)oc3c2)cc1F,390.40600000000006,3.9250200000000035,0.0,4.0,6.327902142064283
2776,CHEMBL2440134,inactive,COc1c(F)c[n+](CCCCOc2ccc3c(C)cc(=O)oc3c2)cc1F,376.3790000000001,3.5349200000000023,0.0,4.0,6.275724130399211
2777,CHEMBL2441683,intermediate,COc1c(F)c[n+](CCCOc2ccc3c(C)cc(=O)oc3c2)cc1F,362.3520000000001,3.144820000000002,0.0,4.0,5.721246399047171
2778,CHEMBL2441682,intermediate,COc1ccc(C(F)(F)F)c[n+]1CCCCCOc1ccc2c(C)cc(=O)oc2c1,422.4230000000002,4.665620000000004,0.0,4.0,5.987162775294828
2779,CHEMBL2441681,active,COc1ccc(C(F)(F)F)c[n+]1CCCCOc1ccc2c(C)cc(=O)oc2c1,408.39600000000013,4.275520000000004,0.0,4.0,5.954677021213342
2780,CHEMBL2441680,active,COc1ccc(C(F)(F)F)c[n+]1CCCOc1ccc2c(C)cc(=O)oc2c1,394.36900000000014,3.8854200000000025,0.0,4.0,5.443697499232712
2781,CHEMBL2441679,intermediate,COc1ccc(C(F)(F)F)c[n+]1CCCCC[n+]1cc(C(F)(F)F)ccc1OC,424.38500000000005,4.186900000000003,0.0,2.0,4.657577319177793
2782,CHEMBL2441678,active,COc1ccc(C(F)(F)F)c[n+]1CCC[n+]1cc(C(F)(F)F)ccc1OC,396.3310000000001,3.4067000000000016,0.0,2.0,5.443697499232712
2783,CHEMBL2441677,active,COc1ccc(C(F)(F)F)c[n+]1CCCCCO,264.26699999999994,2.1641,1.0,2.0,3.8827287043442356
2784,CHEMBL2441676,active,COc1cc2c(cc1OC)C(=O)C(CCCCCCCc1cccc(OC)[n+]1C)C2,412.5500000000002,4.4752000000000045,0.0,4.0,6.568636235841013
2785,CHEMBL2441675,active,COc1cc2c(cc1OC)C(=O)C(CCCCCCc1cccc(OC)[n+]1C)C2,398.52300000000014,4.085100000000003,0.0,4.0,7.0
2786,CHEMBL2441674,active,COc1cc2c(cc1OC)C(=O)C(CCCCCc1cccc(OC)[n+]1C)C2,384.4960000000001,3.695000000000002,0.0,4.0,6.886056647693163
2787,CHEMBL2441673,inactive,COc1cc2c(cc1OC)C[N+](C)(CCCCCCCc1cccc(OC)[n+]1C)CC2,428.6170000000002,4.232800000000004,0.0,3.0,6.958607314841775
2788,CHEMBL2441672,inactive,COc1cc2c(cc1OC)C[N+](C)(CCCCCCc1cccc(OC)[n+]1C)CC2,414.59000000000015,3.8427000000000033,0.0,3.0,6.721246399047171
2789,CHEMBL2441671,inactive,COc1cc2c(cc1OC)C[N+](C)(CCCCCc1cccc(OC)[n+]1C)CC2,400.5630000000001,3.452600000000002,0.0,3.0,6.337242168318426
2790,CHEMBL2441670,inactive,COc1cc2c(cc1OC)C[N+](C)(CCCCc1cccc(OC)[n+]1C)CC2,386.5360000000001,3.0625000000000018,0.0,3.0,5.259637310505756
2791,CHEMBL2441669,inactive,COc1cccc(CCCCCCCCc2cccc(OC)[n+]2C)[n+]1C,358.52600000000007,3.478600000000002,0.0,2.0,6.721246399047171
2792,CHEMBL2441668,inactive,COc1cccc(CCCCCCCc2cccc(OC)[n+]2C)[n+]1C,344.499,3.0885000000000016,0.0,2.0,6.920818753952375
2793,CHEMBL2441667,inactive,COc1cccc(CCCCCCc2cccc(OC)[n+]2C)[n+]1C,330.47200000000004,2.6984000000000012,0.0,2.0,7.154901959985743
2794,CHEMBL2441666,inactive,COc1cccc(CCCCCc2cccc(OC)[n+]2C)[n+]1C,316.445,2.3083,0.0,2.0,6.958607314841775
2795,CHEMBL2441665,inactive,COc1cccc(CCc2cccc(OC)[n+]2C)[n+]1C,274.36400000000003,1.138,0.0,2.0,5.958607314841775
2796,CHEMBL3087683,active,CC(C(=O)NCCCNCCCNC1=CC(=O)c2ccccc2C1=O)c1ccc(-c2ccccc2)c(F)c1,513.6130000000002,4.6349000000000045,3.0,5.0,3.9706162223147903
2797,CHEMBL3087682,intermediate,CC(C(=O)NCCCNC1=CC(=O)C(NCCCNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,704.8180000000001,6.317400000000007,4.0,6.0,4.698970004336019
2798,CHEMBL3087681,inactive,CC(C(=O)NCCCCCCNC1=CC(=O)C(NCCCCCCNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,788.9800000000005,8.658000000000005,4.0,6.0,4.698970004336019
2799,CHEMBL3087680,intermediate,C[C@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,819.0100000000003,6.276800000000009,6.0,8.0,5.539102157243452
2800,CHEMBL3087679,inactive,C[C@@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,819.0100000000003,6.276800000000009,6.0,8.0,4.555955204081924
2801,CHEMBL3087677,inactive,COc1ccc2c(c1)c(CC(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)Cc3c(C)n(C(=O)c4ccc(Cl)cc4)c4ccc(OC)cc34)=CC1=O)c(C)n2C(=O)c1ccc(Cl)cc1,1046.0659999999998,6.769840000000008,6.0,14.0,4.987162775294828
2802,CHEMBL3087676,intermediate,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)=CC1=O,922.7859999999997,7.643400000000007,8.0,10.0,4.8124792791635365
2803,CHEMBL3087675,intermediate,CC1=C(CC(=O)NCCCNCCCNC2=CC(=O)C(NCCCNCCCNC(=O)CC3=C(C)/C(=C\c4ccc([S+](C)[O-])cc4)c4ccc(F)cc43)=CC2=O)c2cc(F)ccc2/C1=C/c1ccc([S+](C)[O-])cc1,1043.3160000000003,7.64620000000001,6.0,10.0,5.020451625295905
2804,CHEMBL3087674,inactive,CC(C)Cc1ccc(C(C)C(=O)NCCCNCCCNC2=CC(=O)C(NCCCNCCCNC(=O)C(C)c3ccc(CC(C)C)cc3)=CC2=O)cc1,743.0500000000002,5.061600000000009,6.0,8.0,6.221848749616356
2805,CHEMBL3085881,inactive,CCn1c(=O)n(C)s/c1=N\CCC1CCN(Cc2ccccc2)CC1,360.52700000000004,2.4711999999999996,0.0,6.0,6.853871964321762
2806,CHEMBL430403,active,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2C1c1ccc(C)cc1)CCCC3,378.4720000000002,4.212420000000003,1.0,5.0,6.739928612014925
2807,CHEMBL398628,intermediate,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,394.47100000000023,3.912600000000003,1.0,6.0,6.061480274823508
2808,CHEMBL3086279,intermediate,COc1cc2c(cc1OC)[Se](=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,475.44700000000034,2.587600000000001,0.0,5.0,6.787812395596042
2809,CHEMBL3086278,intermediate,COc1cc2[se]n(CCCCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,487.5020000000003,4.1582000000000034,0.0,5.0,6.987162775294828
2810,CHEMBL3086277,intermediate,COc1cc2[se]n(CCCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,473.47500000000025,3.768100000000003,0.0,5.0,6.636388020107856
2811,CHEMBL3086276,intermediate,COc1cc2[se]n(CCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,459.44800000000026,3.378000000000002,0.0,5.0,7.013228265733755
2812,CHEMBL3093180,intermediate,O=C1/C(=C/c2ccc(F)cc2)COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc21,550.6740000000004,7.962700000000008,1.0,5.0,6.9775716288145135
2813,CHEMBL3093175,intermediate,COc1ccc(/C=C2\COc3cc(OCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,590.7640000000004,8.612400000000004,1.0,6.0,6.915066425063284
2814,CHEMBL3093174,active,COc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,562.7100000000004,7.832200000000007,1.0,6.0,6.80465394165158
